,player_aces_frequency,player_double_fault_frequency,player_serve_won_frequency,player_points_won_frequency,player_completeness,player_advantage_on_serve,original_match_idx,nb_common_opponents,Sipko_uncertainty,Leo_uncertainty
201,"0,007763975","-0,045031056","0,00310559","0,07199211","0,092822636","0,00621118",846,1,"1,272794935",5
202,"0,085719244","-0,005688847","0,00588448","0,02671914","0,030771044","0,011768961",847,2,"0,451533328","2,5"
203,"0,057077969","-0,062701497","0,11522671","0,087682038","0,109999435","0,23045342",849,3,"0,418089961","1,666666667"
204,"-0,028196416","0,002847212","-0,064781681","0,055937245","0,068024251","-0,129563362",851,3,"0,454834385","1,666666667"
205,"-0,017867597","0,00965644","-0,014680474","0,057038831","0,081680819","-0,029360948",852,2,"0,732920338","2,5"
206,"-0,0004329","-0,049177489","0,056103896","0,07579314","0,06177527","0,112207792",853,2,"0,702216365","2,5"
207,"0,134042553","0,001276596","-0,036595745","0,002903226","0,012102128","-0,073191489",854,1,"1,108032348",5
208,"-0,030985581","0,026255852","-0,031445699","0,002626637","0,012096164","-0,062891398",855,2,"0,648078435","2,5"
209,"-0,087315055","-0,049855427","0,023117094","0,028491159","0,030395721","0,046234187",857,2,"0,722566183","2,5"
210,"-0,045875811","0,019230769","-0,165199259","-0,096602713","-0,078267202","-0,330398517",858,1,"1,244874235",5
211,"0,053690325","0,005053099","-0,037193088","0,025995948","0,05209728","-0,074386177",859,2,"0,708282719","2,5"
212,"-0,006424815","-0,035215204","-0,023765652","-0,03700444","-0,067134768","-0,047531304",860,2,"0,831269815","2,5"
213,"0,036525105","-0,023367695","0,09294602","0,115508875","0,140861957","0,185892041",861,3,"0,314175585","1,666666667"
214,"-0,100043879","0,036419482","0,102676613","0,056924384","0,064264703","0,205353225",862,1,"1,349102534",5
215,"0,011540152","-0,023162731","-0,036104002","-0,022555732","-0,007955178","-0,072208004",863,3,"0,430118918","1,666666667"
216,"0,030952381","0,001190476","0,120238095","0,11856517","0,148340676","0,24047619",866,1,"1,615521555",5
217,"0,08880666","0,011563367","0,131822387","0,187165399","0,219049288","0,263644773",867,1,"1,200803427",5
218,"-0,066060606","-0,037878788","0,04","0,083556768","0,130807596","0,08",868,1,"1,437936533",5
219,"-0,129218363","-0,023089901","0,098500137","0,083029179","0,093110558","0,197000275",870,2,"0,39972896","2,5"
220,"-0,03211105","0,01834627","-0,098043349","-0,023219529","-0,019186261","-0,196086697",871,2,"0,429315991","2,5"
221,"0,002747253","-0,034340659","-0,103021978","-0,022310619","-0,014365281","-0,206043956",872,1,"1,244874235",5
222,"0,061001885","0,010368974","-0,103151091","-0,081519664","-0,092198884","-0,206302182",873,1,"1,32317144",5
223,"-0,004341986","0,03632799","-0,025956958","0,017143679","0,031030856","-0,051913915",874,1,"0,464715793",5
224,"-0,108456901","-0,004205321","0,020195742","0,00462573","0,021490387","0,040391483",875,3,"0,440097808","1,666666667"
225,"-0,040046888","0,002385519","0,035298685","0,126940031","0,168081564","0,070597369",876,2,"0,751363099","2,5"
226,"-0,115279503","-0,02484472","-0,051097308","0,035254934","0,080459744","-0,102194617",877,1,"1,437936533",5
227,"-0,039312256","-0,019477948","0,014622929","0,092431319","0,128577402","0,029245858",878,2,"0,721039807","2,5"
228,"0,052602111","0,012700232","0,093353514","0,022049903","0,020656057","0,186707027",879,3,"0,440410354","1,666666667"
229,"0,016934046","0,006238859","0,146167558","0,151867407","0,132003512","0,292335116",880,1,"1,356604327",5
230,"-0,036714161","-0,008634673","0,007109209","-0,003983952","0,001036397","0,014218419",881,3,"0,489013977","1,666666667"
231,"0,000839794","-0,004684217","0,111312656","0,080802943","0,078569296","0,222625313",882,3,"0,291756239","1,666666667"
232,"-0,01045801","0,00956026","-0,041312291","-0,0865069","-0,118409931","-0,082624583",883,2,"0,732920338","2,5"
233,"0,008311136","-0,011688864","0,010377358","0,009566513","0,004419329","0,020754717",884,2,"0,701890458","2,5"
234,"-0,055312395","-0,068373131","0,031263489","0,027232362","0,033670219","0,062526978",885,3,"0,320184645","1,666666667"
235,"0,002194905","0,022753898","-0,00973077","0,03502712","0,04064298","-0,01946154",886,1,"0,59956959",5
236,"0,037431204","0,02277793","0,086398595","0,078116283","0,068587033","0,17279719",888,2,"0,712296802","2,5"
237,"-0,016945953","-0,016237625","0,05452887","-0,029482937","-0,053518638","0,10905774",890,3,"0,459680975","1,666666667"
238,"0,066950155","0,032236852","-0,059598031","-0,02136974","-0,013881713","-0,119196062",892,2,"0,788909695","2,5"
239,"0,086258626","0,03150315","0,242724272","0,081379017","0,027413046","0,485448545",893,1,"1,217566019",5
240,"-0,110788114","0,01873385","-0,015503876","-0,04107797","-0,098766104","-0,031007752",895,1,"1,117287138",5
241,"0,018452904","0,001708893","-0,029929136","-0,058601437","-0,069379607","-0,059858272",896,2,"0,756915475","2,5"
